06-13 23:46 Link_db_control INFO     ['/WA/Bothell/10015-NE-155th-St-98011/home/284598', '/WA/Bothell/20056-94th-Dr-NE-98011/unit-8/home/59704159', '/WA/Bothell/15235-108th-Pl-NE-98011/home/457710', '/WA/Bothell/17432-Bothell-Way-NE-98011/unit-C103/home/146001231', '/WA/Bothell/8812-NE-189th-Pl-98011/home/287316', '/WA/Bothell/19406-127th-Ave-NE-98011/home/53869482', '/WA/Bothell/10831-NE-147th-Ln-98011/unit-R202/home/8190245', '/WA/Bothell/17210-105th-Ave-NE-98011/home/284409', '/WA/Bothell/16509-122nd-Ave-NE-98011/home/455591', '/WA/Bothell/17225-Woodcrest-Dr-NE-98011/home/12352593', '/WA/Bothell/15107-103rd-Ave-NE-98011/home/284492', '/WA/Bothell/10807-1st-St-98011/home/146039916', '/WA/Bothell/19036-84th-Pl-NE-98011/home/113178434', '/WA/Bothell/14523-99th-Ave-NE-98011/home/45463959', '/WA/Bothell/17127-94th-Home-Site-17-Pl-NE-98011/home/145420585', '/WA/Bothell/17205-94th-Pl-NE-98011/home/145309007', '/WA/Bothell/17132-94th-Homesite-26-Pl-NE-98011/home/145288908', '/WA/Bothell/9227-NE-173rd-Homesite-2-St-98011/home/145105844', '/WA/Bothell/17114-94th-Homesite-23-Pl-NE-98011/home/144914923', '/WA/Bothell/11123-NE-162nd-St-98011/home/8187308', '/WA/Bothell/19133-94th-Pl-NE-98011/home/286021', '/WA/Bothell/19021-104th-Ave-NE-98011/home/286431', '/WA/Bothell/16125-Juanita-Woodinville-Way-NE-98011/unit-413/home/30561', '/WA/Bothell/16625-104th-Ave-NE-98011/home/285029', '/WA/Bothell/16114-121st-Ave-NE-98011/home/455764', '/WA/Bothell/17114-94th-Pl-NE-98011/home/145094282', '/WA/Bothell/20004-103rd-Ct-NE-98011/home/285883', '/WA/Bothell/12929-NE-192nd-Pl-98011/home/59704882', '/WA/Bothell/9620-Main-St-98011/unit-6/home/145928076', '/WA/Bothell/18613-103rd-Ave-NE-98011/home/286869', '/WA/Bothell/19633-109th-Pl-NE-98011/home/286968', '/WA/Bothell/20247-86th-Pl-NE-98011/home/21883735', '/WA/Bothell/15300-112th-Ave-NE-98011/unit-B201/home/22685300', '/WA/Bothell/15920-118th-Pl-NE-98011/home/455881', '/WA/Bothell/15300-112th-Ave-NE-98011/unit-A203/home/103953199', '/WA/Bothell/17107-94th-Pl-NE-98011/home/145850682', '/WA/Bothell/12801-NE-190th-Pl-98011/home/59704879', '/WA/Bothell/16125-Juanita-Woodinville-Way-NE-98011/unit-1613/home/48607', '/WA/Bothell/19237-127th-Ave-NE-98011/home/59705041', '/WA/Bothell/17429-102nd-Ave-NE-98011/home/8186200', '/WA/Bothell/15922-99th-Pl-NE-98011/home/101611778', '/WA/Bothell/19411-100th-Ave-NE-98011/home/285833', '/WA/Bothell/19528-93rd-Pl-NE-98011/unit-21/home/12304647', '/WA/Bothell/8811-NE-189th-Pl-98011/home/285635', '/WA/Bothell/9227-NE-173rd-St-98011/home/145567990', '/WA/Bothell/17138-94th-Home-Site-27-Pl-NE-98011/home/145543580', '/WA/Bothell/9219-1st-St-98011/home/145542738', '/WA/Bothell/9631-NE-183rd-Ct-98011/unit-41A/home/145535232', '/WA/Bothell/17004-W-Riverside-Dr-98011/home/284352', '/WA/Bothell/9608-NE-182nd-Ct-98011/unit-19/home/143120003', '/WA/Bothell/15300-112th-Ave-NE-98011/unit-A205/home/17950537', '/WA/Bothell/17107-94th-Homesite-20-Pl-NE-98011/home/144914959', '/WA/Bothell/9207-Odin-Way-98011/home/22394918', '/WA/Bothell/9608-NE-182nd-Ct-98011/unit-22A/home/144834022', '/WA/Bothell/19300-Bothell-Way-NE-98011/home/143807689', '/WA/Bothell/12900-NE-192nd-Pl-98011/home/143408423', '/WA/Bothell/10722-E-Riverside-Dr-98011/home/113376880', '/WA/Bothell/Meadows-at-Palm-Creek/Davenport/home/145204753', '/WA/Bothell/Meadows-at-Palm-Creek/Lynwood/home/145255580']
06-13 23:46 link_operation INFO     2 pages in total to fetch.
06-13 23:46 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98014
06-13 23:47 link_operation INFO     Got 3 links on page https://www.redfin.com/zipcode/98014/page-2
06-13 23:47 Link_db_control INFO     Total link amount is 23. 0 links are already in the database:
06-13 23:47 link_operation INFO     3 pages in total to fetch.
06-13 23:47 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98019
06-13 23:47 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98019/page-2
06-13 23:48 link_operation INFO     Got 15 links on page https://www.redfin.com/zipcode/98019/page-3
06-13 23:48 Link_db_control INFO     Total link amount is 55. 0 links are already in the database:
06-13 23:48 link_operation INFO     7 pages in total to fetch.
06-13 23:48 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98022
06-13 23:48 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98022/page-2
06-13 23:49 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98022/page-3
06-13 23:49 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98022/page-4
06-13 23:49 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98022/page-5
06-13 23:50 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98022/page-6
06-13 23:50 link_operation INFO     Got 14 links on page https://www.redfin.com/zipcode/98022/page-7
06-13 23:50 Link_db_control INFO     Total link amount is 134. 0 links are already in the database:
06-13 23:50 link_operation INFO     6 pages in total to fetch.
06-13 23:50 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98023
06-13 23:51 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98023/page-2
06-13 23:51 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98023/page-3
06-13 23:51 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98023/page-4
06-13 23:52 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98023/page-5
06-13 23:52 link_operation INFO     Got 2 links on page https://www.redfin.com/zipcode/98023/page-6
06-13 23:52 Link_db_control INFO     Total link amount is 102. 0 links are already in the database:
06-13 23:52 link_operation INFO     2 pages in total to fetch.
06-13 23:52 link_operation INFO     Got 20 links on page https://www.redfin.com/zipcode/98024
06-13 23:53 link_operation ERROR    Unknow err in __make_call().HTTPSConnectionPool(host='www.redfin.com', port=443): Max retries exceeded with url: /zipcode/98024/page-2 (Caused by ProxyError('Cannot connect to proxy.', NewConnectionError('<urllib3.connection.VerifiedHTTPSConnection object at 0x017BABD0>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond',)))
Trying 3 more time(s)...
06-13 23:53 link_operation INFO     Got 1 links on page https://www.redfin.com/zipcode/98024/page-2
06-13 23:53 Link_db_control INFO     Total link amount is 21. 0 links are already in the database:
